step,phase,phase_step,true_noise,estimated_noise,true_drift,estimated_drift,confidence,freshness,current_trust,historical_trust,recalibration_requested,recalibration_event
78,recovery,8,0.22482758620689658,0.26398674695899893,0.6655172413793103,0.5980948878886414,0.4747224190991996,0.9048374180359595,0.6293695505718797,0.6312130924151401,False,False
79,recovery,9,0.21793103448275863,0.12261268604466952,0.6362068965517241,0.6326513233846632,0.6896381419050926,0.9048374180359595,0.7098028876279299,0.646931051457698,False,False
80,recovery,10,0.2110344827586207,0.2282954515643464,0.6068965517241379,0.568412812830185,0.5833776801697025,0.9048374180359595,0.6728767084527827,0.6521201828567149,False,False
81,recovery,11,0.2041379310344828,0.10298567815551532,0.5775862068965518,0.5940455748339236,0.7507918154832465,0.9048374180359595,0.7396494951324417,0.6696260453118603,False,False
82,recovery,12,0.19724137931034486,0.24689106282813042,0.5482758620689656,0.5878156464679273,0.6508600698066215,0.9048374180359595,0.6802476946366309,0.6717503751768145,False,False
83,recovery,13,0.1903448275862069,0.2578078757238812,0.5189655172413794,0.512147171665052,0.639151070138981,0.9048374180359595,0.6935083601965017,0.6761019721807519,False,False
84,recovery,14,0.18344827586206897,0.15741935369689056,0.48965517241379314,0.4604145901785235,0.5796074848898072,0.9048374180359595,0.7166527397625881,0.6842121256971192,False,False
85,recovery,15,0.17655172413793105,0.1843680267872194,0.46034482758620693,0.4728391071743152,0.7081358815448183,0.9048374180359595,0.7389415414048108,0.6951580088386575,False,False
86,recovery,16,0.16965517241379313,0.1339630989094724,0.4310344827586207,0.4496246739763845,0.9039145378494725,0.9048374180359595,0.8062910457498937,0.7173846162209048,False,False
87,recovery,17,0.1627586206896552,0.16467137831490425,0.40172413793103456,0.37634245757054924,0.7362786894519842,0.9048374180359595,0.7750255679006226,0.7289128065568483,False,False
88,recovery,18,0.15586206896551724,0.15237424705825914,0.37241379310344824,0.30917551455137615,0.8053592403002995,0.9048374180359595,0.8121617241816559,0.7455625900818098,False,False
89,recovery,19,0.14896551724137932,0.15202463045821837,0.34310344827586214,0.43533738266417166,0.840533095880114,0.9048374180359595,0.7895021251984209,0.754350497105132,False,False
90,recovery,20,0.14206896551724138,0.19377042729973537,0.3137931034482758,0.27814567639331383,0.8648272819816798,0.9048374180359595,0.8244371490811475,0.7683678275003352,False,False
91,recovery,21,0.13517241379310346,0.07820329006560761,0.2844827586206897,0.3000807934552332,0.8821853474251723,0.9048374180359595,0.8521846704850726,0.7851311960972827,False,False
92,recovery,22,0.12827586206896555,0.08995539126585372,0.2551724137931035,0.355141404051178,0.8673511748932403,0.9048374180359595,0.8317729494030419,0.7944595467584346,False,False
93,recovery,23,0.1213793103448276,0.02624289520010216,0.2258620689655173,0.25350506329530775,0.8555078710906354,0.9048374180359595,0.8701493326577963,0.809597503938307,False,False
94,recovery,24,0.11448275862068968,0.11455156941150478,0.1965517241379311,0.21983996368364025,0.8974860001468653,0.9048374180359595,0.8669829712719199,0.8210745974050295,False,False
95,recovery,25,0.10758620689655174,0.0056286397448209735,0.16724137931034488,0.10932539212966566,1.0,0.9048374180359595,0.9474708465403683,0.8463538472320973,False,False
96,recovery,26,0.1006896551724138,0.16574986763387833,0.13793103448275867,0.23308867881588372,0.9847180405123436,0.9048374180359595,0.8726792280246352,0.8516189233906049,False,False
97,recovery,27,0.09379310344827588,0.0,0.10862068965517246,0.14709479570199502,0.7878588656299937,0.9048374180359595,0.8864003719909896,0.8585752131106819,False,False
98,recovery,28,0.08689655172413793,0.16757658815123772,0.07931034482758625,0.09197781496868868,0.8048847357138662,0.9048374180359595,0.8625419376574748,0.8593685580200404,False,False
99,recovery,29,0.08000000000000002,0.18049504735455701,0.050000000000000044,0.08219854351454363,0.7436306525362419,0.9048374180359595,0.8464436199257752,0.8567835704011875,False,False
