case,iterations,orchestration_mean_ms,orchestration_std_ms,trust_mean_ms,trust_std_ms,total_mean_ms,total_std_ms,trust_overhead_percent
chemical,30,0.25424159975955263,0.05687185320926067,0.0045596668011664105,0.0015936128808435725,0.2590153669492186,0.05849214285113539,1.7934385267708692
wetware,30,0.05341676660464145,0.06616245036180894,0.0035527335664179796,0.0012888355517634061,0.0571457996557001,0.06710911697145976,6.650970832272874
edge,30,0.03551540006204353,0.012388932400740096,0.0030166665965225548,0.0007597727743408858,0.03869013344228733,0.013163622745751348,8.493967662626908
