source_count,noise_level,drift_level,repetition,simple_average_error,simple_average_result,confidence_weighted_error,confidence_weighted_result,uncertainty_weighted_error,uncertainty_weighted_result,trust_only_error,trust_only_result,median_error,median_result,trust_aware_error,trust_aware_result,mean_true_noise,mean_estimated_noise,mean_true_drift,mean_estimated_drift,mean_confidence,mean_trust
2,0.05,0.0,0,0.013110739692196338,1.0131107396921963,0.013137774699010674,1.0131377746990107,0.012818081494466949,1.012818081494467,0.013171876977354113,1.0131718769773541,0.013110739692196338,1.0131107396921963,0.012879212879092217,1.0128792128790922,0.05625,0.0559667248075274,0.0,0.021971471535738554,0.9989807162015517,0.9753102982912603
2,0.05,0.0,1,0.08495075923693607,0.9150492407630639,0.08526565400500008,0.9147343459949999,0.08890270638936071,0.9110972936106393,0.08391381562166755,0.9160861843783324,0.08495075923693607,0.9150492407630639,0.08796039026360791,0.9120396097363921,0.05625,0.01714525059813791,0.0,0.04522491969396317,0.9382251192874935,0.8874735015586228
2,0.05,0.0,2,0.029281180155580677,0.9707188198444193,0.029751436120657893,0.9702485638793421,0.026054380675343713,0.9739456193246563,0.03063898202802018,0.9693610179719798,0.029281180155580677,0.9707188198444193,0.02736729161176432,0.9726327083882357,0.05625,0.08465636526973631,0.0,0.02183510963448617,0.9667371439140648,0.8835711815622354
2,0.05,0.0,3,0.01682227496864841,1.0168222749686484,0.015958669671448877,1.0159586696714489,0.003375821301542681,1.0033758213015427,0.015157423947446125,1.0151574239474461,0.01682227496864841,1.0168222749686484,0.0022460675052824453,1.0022460675052824,0.05625,0.0007731314676076156,0.0,0.0452212623969572,0.9349550894202246,0.9133664625640127
2,0.05,0.0,4,0.03766447441509002,1.03766447441509,0.03766447441509002,1.03766447441509,0.03983855965040006,1.0398385596504,0.037611892214818976,1.037611892214819,0.03766447441509002,1.03766447441509,0.03981017673515308,1.039810176735153,0.05625,0.04316712997553537,0.0,0.0,1.0,0.9640743958042082
2,0.05,0.0,5,0.026568614240781052,0.973431385759219,0.026466107120092452,0.9735338928799075,0.02811288967758141,0.9718871103224186,0.026620500653207757,0.9733794993467922,0.026568614240781052,0.973431385759219,0.028151322266509626,0.9718486777334904,0.05625,0.05903395967898095,0.0,0.0,0.9676909656212235,0.9520304297836528
2,0.05,0.0,6,0.022657614687850103,1.02265761468785,0.024957555628738914,1.024957555628739,0.059553208347465914,1.059553208347466,0.025213832944442904,1.025213832944443,0.022657614687850103,1.02265761468785,0.0595535681063204,1.0595535681063204,0.05625,0.08151257293654149,0.0,0.0008382830196815337,0.941325509257725,0.829330047983559
2,0.05,0.0,7,0.0010267719354435378,1.0010267719354435,0.0006118130789296572,1.0006118130789297,0.008459298950586058,0.9915407010494139,0.0007753673734185451,1.0007753673734185,0.0010267719354435378,1.0010267719354435,0.008621670195788078,0.9913783298042119,0.05625,0.09022897517618937,0.0,0.05451665325478669,0.8771855770293501,0.8203128961731001
2,0.05,0.0,8,0.023516394344249347,1.0235163943442493,0.024330521808234362,1.0243305218082344,0.04406508157717659,1.0440650815771766,0.022081165188862162,1.0220811651888622,0.023516394344249347,1.0235163943442493,0.04343387040351643,1.0434338704035164,0.05625,0.059866256434192085,0.0,0.01659975622946258,0.9707606552623944,0.8718999349308629
2,0.05,0.0,9,0.018787040819560064,0.9812129591804399,0.017721847742839136,0.9822781522571609,0.0341957518189866,0.9658042481810134,0.018852875936551716,0.9811471240634483,0.018787040819560064,0.9812129591804399,0.03424613276418276,0.9657538672358172,0.05625,0.046418885925108705,0.0,0.027118527836340098,0.9676434208498199,0.8154963620649534
2,0.05,0.0,10,0.05215007544115924,1.0521500754411592,0.05132837549121971,1.0513283754912197,0.02705655025426501,1.027056550254265,0.05129705757147751,1.0512970575714775,0.05215007544115924,1.0521500754411592,0.02646900228905258,1.0264690022890526,0.05625,0.024636062036141732,0.0,0.039826510356576084,0.9822629181648771,0.8666529954665465
2,0.05,0.0,11,0.03412565686931446,1.0341256568693145,0.03867920188080487,1.0386792018808049,0.08472656528135891,1.084726565281359,0.03694470242585335,1.0369447024258533,0.03412565686931446,1.0341256568693145,0.08573356001456989,1.0857335600145699,0.05625,0.04106609878317795,0.0,0.0,0.9333226521968905,0.9479303166515203
2,0.05,0.0,12,0.0051182521576003115,0.9948817478423997,0.0074095011468369165,0.9925904988531631,0.0529415910430826,0.9470584089569174,0.007241692557057311,0.9927583074429427,0.0051182521576003115,0.9948817478423997,0.053367254915449136,0.9466327450845509,0.05625,0.07412213539137803,0.0,0.018114860028263482,0.9590937693452509,0.9415803717794945
2,0.05,0.0,13,0.036024232294124214,1.0360242322941242,0.03670922636126206,1.036709226361262,0.0695813245553345,1.0695813245553345,0.03575546294901977,1.0357554629490198,0.036024232294124214,1.0360242322941242,0.06958118155674575,1.0695811815567458,0.05625,0.04351943934484914,0.0,0.0,0.9717064001220872,0.8466331248524931
2,0.05,0.0,14,0.061478933603107855,1.0614789336031079,0.0598029728853553,1.0598029728853553,0.07473187380070967,1.0747318738007097,0.06324739946282487,1.0632473994628249,0.061478933603107855,1.0614789336031079,0.07618571134795182,1.0761857113479518,0.05625,0.03320824929270791,0.0,0.0,0.9185240147409013,0.8696552156432263
