experiment,scenario_count,source_count,total_time_ms,time_per_record_ms
edge_trust_scalability,1000,,2.6190829994447995,0.0026190829994447995
edge_trust_scalability,10000,,21.9817500001227,0.0021981750000122703
edge_trust_scalability,100000,,214.79616699798498,0.0021479616699798497
fog_fusion_scalability,,2,0.006666999979643151,0.0033334999898215756
fog_fusion_scalability,,5,0.0015420009731315076,0.0003084001946263015
fog_fusion_scalability,,10,0.0015409968909807503,0.00015409968909807503
fog_fusion_scalability,,25,0.002749999111983925,0.000109999964479357
fog_fusion_scalability,,50,0.004625002475222573,9.250004950445145e-05
fog_fusion_scalability,,100,0.009291998139815405,9.291998139815405e-05
