runs,overall_mae,accepted_mae,bad_output_rate,acceptance_rate,rejection_rate,forwarding_rate,unsafe_acceptance_frequency,false_acceptance_rate,false_rejection_rate,accepted_output_contamination_rate,false_acceptance_rate_all_runs,false_rejection_rate_all_runs,conditional_false_acceptance_rate,conditional_false_rejection_rate,bad_rate_among_accepted,weight_config,alpha,beta,gamma,delta,theta_accept,theta_reject,tau_s,mean_trust,mean_confidence
10000,0.6649175990020444,0.2747040113883093,0.7322,0.0498,0.138,0.8122,0.0181,0.024720021851953017,0.08140403286034353,0.3634538152610442,0.0181,0.0218,0.024720021851953017,0.08140403286034353,0.3634538152610442,equal,0.25,0.25,0.25,0.25,0.7,0.3,5.0,0.4576408239915818,0.5893272017457845
10000,0.6649175990020444,0.23613294215829864,0.7322,0.0206,0.2327,0.7467,0.0061,0.00833105708822726,0.14339058999253174,0.2961165048543689,0.0061,0.0384,0.00833105708822726,0.14339058999253174,0.2961165048543689,equal,0.25,0.25,0.25,0.25,0.75,0.35,5.0,0.4576408239915818,0.5893272017457845
10000,0.6649175990020444,0.18884316007076338,0.7322,0.0075,0.3546,0.6379,0.0013,0.0017754711827369571,0.22554144884241972,0.17333333333333334,0.0013,0.0604,0.0017754711827369571,0.22554144884241972,0.17333333333333334,equal,0.25,0.25,0.25,0.25,0.8,0.4,5.0,0.4576408239915818,0.5893272017457845
10000,0.6649175990020444,0.15584560111570017,0.7322,0.0017,0.4904,0.5079,0.0001,0.0001365747063643813,0.32113517550410753,0.058823529411764705,0.0001,0.086,0.0001365747063643813,0.32113517550410753,0.058823529411764705,equal,0.25,0.25,0.25,0.25,0.85,0.45,5.0,0.4576408239915818,0.5893272017457845
10000,0.6649175990020444,0.28430595547052884,0.7322,0.0606,0.0893,0.8501,0.0228,0.03113903305107894,0.05339805825242718,0.37623762376237624,0.0228,0.0143,0.03113903305107894,0.05339805825242718,0.37623762376237624,confidence_priority,0.4,0.2,0.2,0.2,0.7,0.3,5.0,0.4839780995424223,0.5893272017457845
10000,0.6649175990020444,0.23457417942801442,0.7322,0.0263,0.1645,0.8092,0.0076,0.01037967768369298,0.10380881254667662,0.2889733840304182,0.0076,0.0278,0.01037967768369298,0.10380881254667662,0.2889733840304182,confidence_priority,0.4,0.2,0.2,0.2,0.75,0.35,5.0,0.4839780995424223,0.5893272017457845
10000,0.6649175990020444,0.2002237227354634,0.7322,0.0082,0.2765,0.7153,0.0018,0.002458344714558864,0.1736370425690814,0.21951219512195122,0.0018,0.0465,0.002458344714558864,0.1736370425690814,0.21951219512195122,confidence_priority,0.4,0.2,0.2,0.2,0.8,0.4,5.0,0.4839780995424223,0.5893272017457845
10000,0.6649175990020444,0.16342327007557264,0.7322,0.0016,0.4101,0.5883,0.0001,0.0001365747063643813,0.2681105302464526,0.0625,0.0001,0.0718,0.0001365747063643813,0.2681105302464526,0.0625,confidence_priority,0.4,0.2,0.2,0.2,0.85,0.45,5.0,0.4839780995424223,0.5893272017457845
10000,0.6649175990020444,0.2884894907449646,0.7322,0.0727,0.1544,0.7729,0.0285,0.038923791313848675,0.09858103061986558,0.3920220082530949,0.0285,0.0264,0.038923791313848675,0.09858103061986558,0.3920220082530949,noise_priority,0.2,0.4,0.2,0.2,0.7,0.3,5.0,0.46617327078465715,0.5893272017457845
10000,0.6649175990020444,0.24925201990011112,0.7322,0.033,0.2488,0.7182,0.011,0.015023217700081944,0.17251680358476476,0.3333333333333333,0.011,0.0462,0.015023217700081944,0.17251680358476476,0.3333333333333333,noise_priority,0.2,0.4,0.2,0.2,0.75,0.35,5.0,0.46617327078465715,0.5893272017457845
10000,0.6649175990020444,0.18708348356938287,0.7322,0.0107,0.357,0.6323,0.0018,0.002458344714558864,0.2520537714712472,0.16822429906542055,0.0018,0.0675,0.002458344714558864,0.2520537714712472,0.16822429906542055,noise_priority,0.2,0.4,0.2,0.2,0.8,0.4,5.0,0.46617327078465715,0.5893272017457845
10000,0.6649175990020444,0.18147119038164114,0.7322,0.0026,0.4691,0.5283,0.0004,0.0005462988254575252,0.3450336071695295,0.15384615384615385,0.0004,0.0924,0.0005462988254575252,0.3450336071695295,0.15384615384615385,noise_priority,0.2,0.4,0.2,0.2,0.85,0.45,5.0,0.46617327078465715,0.5893272017457845
10000,0.6649175990020444,0.25059716968335843,0.7322,0.072,0.16,0.768,0.0218,0.029773285987435127,0.08177744585511576,0.30277777777777776,0.0218,0.0219,0.029773285987435127,0.08177744585511576,0.30277777777777776,drift_priority,0.2,0.2,0.4,0.2,0.7,0.3,5.0,0.4649878235473131,0.5893272017457845
10000,0.6649175990020444,0.2144956374462196,0.7322,0.0317,0.2509,0.7174,0.0076,0.01037967768369298,0.13256161314413742,0.23974763406940064,0.0076,0.0355,0.01037967768369298,0.13256161314413742,0.23974763406940064,drift_priority,0.2,0.2,0.4,0.2,0.75,0.35,5.0,0.4649878235473131,0.5893272017457845
10000,0.6649175990020444,0.19692518353664415,0.7322,0.0118,0.3563,0.6319,0.0022,0.003004643540016389,0.19081404032860344,0.1864406779661017,0.0022,0.0511,0.003004643540016389,0.19081404032860344,0.1864406779661017,drift_priority,0.2,0.2,0.4,0.2,0.8,0.4,5.0,0.4649878235473131,0.5893272017457845
10000,0.6649175990020444,0.16494413015413198,0.7322,0.0031,0.4728,0.5241,0.0004,0.0005462988254575252,0.2625093353248693,0.12903225806451613,0.0004,0.0703,0.0005462988254575252,0.2625093353248693,0.12903225806451613,drift_priority,0.2,0.2,0.4,0.2,0.85,0.45,5.0,0.4649878235473131,0.5893272017457845
10000,0.6649175990020444,0.36248691170425407,0.7322,0.0396,0.2176,0.7428,0.0197,0.02690521715378312,0.13256161314413742,0.49747474747474746,0.0197,0.0355,0.02690521715378312,0.13256161314413742,0.49747474747474746,freshness_priority,0.2,0.2,0.2,0.4,0.7,0.3,5.0,0.4154241020919345,0.5893272017457845
