seed,source_count,noise_level,drift_level,repetition,simple_average_error,simple_average_result,confidence_weighted_error,confidence_weighted_result,uncertainty_weighted_error,uncertainty_weighted_result,trust_only_error,trust_only_result,median_error,median_result,original_trust_uncertainty_error,original_trust_uncertainty_result,orthogonal_trust_uncertainty_error,orthogonal_trust_uncertainty_result,trust_aware_error,trust_aware_result,compatible,compatibility_issue_count,compatibility_issues,disagreement,disagreement_acceptable,can_fuse,fog_action,operational_fusion_result,operational_fusion_error,mean_true_noise,mean_estimated_noise,mean_true_drift,mean_estimated_drift,mean_signed_drift,mean_confidence,mean_trust,mean_backend_quality,mean_staleness_error,max_staleness_error,sigma_floor
42,2,0.05,0.0,0,0.02910507661802164,1.0291050766180216,0.02818334687908175,1.0281833468790817,0.0363861765105411,1.036386176510541,0.02774702703341414,1.0277470270334141,0.02910507661802164,1.0291050766180216,0.035176729001338725,1.0351767290013387,0.03459841575925804,1.034598415759258,0.03459841575925804,1.034598415759258,True,0,,0.01953159002647616,True,True,fuse,1.034598415759258,0.03459841575925804,0.05625,0.09892199974668289,0.0,0.0,0.0,0.7852703546808216,0.8627133774086324,0.7521361201137464,0.016119098292068257,0.03061297754358283,0.02
42,2,0.05,0.0,1,0.024166504844508552,0.9758334951554914,0.025408244140963654,0.9745917558590363,0.019661625825217688,0.9803383741747823,0.024924334014631455,0.9750756659853685,0.024166504844508552,0.9758334951554914,0.02022876184067457,0.9797712381593254,0.020533703739577414,0.9794662962604226,0.020533703739577414,0.9794662962604226,True,0,,0.008396211264496078,True,True,fuse,0.9794662962604226,0.020533703739577414,0.05625,0.06302936431457269,0.0,0.05309830781027308,0.0,0.7463537826468769,0.8058828019116857,0.630391791759709,0.018070829831726476,0.018288522888271208,0.02
42,2,0.05,0.0,2,0.025796447807059364,0.9742035521929406,0.031192821047179686,0.9688071789528203,0.020633384638774732,0.9793666153612253,0.026824666965600485,0.9731753330343995,0.025796447807059364,0.9742035521929406,0.021641754115540923,0.9783582458844591,0.022077318248603595,0.9779226817513964,0.022077318248603595,0.9779226817513964,True,0,,0.033334143145482775,True,True,fuse,0.9779226817513964,0.022077318248603595,0.05625,0.09861621386500434,0.0,0.03256699226013346,0.0,0.7342023670306166,0.8958044585530586,0.6369479154021772,0.001854582760647372,0.0018924630559175037,0.02
42,2,0.05,0.0,3,0.06446226597230353,0.9355377340276965,0.07671648578569656,0.9232835142143034,0.040759160995226584,0.9592408390047734,0.06892303399468191,0.9310769660053181,0.06446226597230353,0.9355377340276965,0.04462132915033956,0.9553786708496604,0.046779014292597676,0.9532209857074023,0.046779014292597676,0.9532209857074023,True,0,,0.05919979711901324,True,True,fuse,0.9532209857074023,0.046779014292597676,0.05625,0.13749531068054152,0.0,0.0,0.0,0.6504858330229722,0.7991904292321088,0.564605866198948,0.026972704295396333,0.040481508341269734,0.02
42,2,0.05,0.0,4,0.024227695257506454,1.0242276952575065,0.02493452724782297,1.024934527247823,0.06136092042144603,1.061360920421446,0.021143137586077332,1.0211431375860773,0.024227695257506454,1.0242276952575065,0.060390859234757954,1.060390859234758,0.059822944961294144,1.0598229449612941,0.059822944961294144,1.0598229449612941,True,0,,0.04321265937846405,True,True,fuse,1.0598229449612941,0.059822944961294144,0.05625,0.0474624902351031,0.0,0.02765380520958885,0.0,0.8355640026601494,0.8586216911136391,0.7477488417087443,0.011046901495475991,0.02087361978786717,0.02
42,2,0.05,0.0,5,0.01160401616695994,1.01160401616696,0.012413277362449238,1.0124132773624492,0.02654073610799057,1.0265407361079906,0.009127001481601393,1.0091270014816014,0.01160401616695994,1.01160401616696,0.024314819099605645,1.0243148190996056,0.023286211600284767,1.0232862116002848,0.023286211600284767,1.0232862116002848,True,0,,0.04278056443458152,True,True,fuse,1.0232862116002848,0.023286211600284767,0.05625,0.06027630691407055,0.0,0.0,0.0,0.9180080394173687,0.8627592074070025,0.786576039168031,0.019641942915898214,0.02760071125727781,0.02
42,2,0.05,0.0,6,0.002764825841207297,0.9972351741587927,0.013746064234621103,0.9862539357653789,0.00021888821510818168,0.9997811117848918,0.003063372290824873,0.9969366277091751,0.002764825841207297,0.9972351741587927,0.0005169166563671057,0.9994830833436329,0.0006803159096615552,0.9993196840903384,0.0006803159096615552,0.9993196840903384,True,0,,0.057431588999497296,True,True,fuse,0.9993196840903384,0.0006803159096615552,0.05625,0.0955472504223766,0.0,0.017309347248412054,0.0,0.7275689645071105,0.8246208903555814,0.6223511070761253,0.0162695574515333,0.03223184791889355,0.02
42,2,0.05,0.0,7,0.02336696891447121,0.9766330310855288,0.023444990939721633,0.9765550090602784,0.02342780767667274,0.9765721923233273,0.023386414936301336,0.9766135850636987,0.02336696891447121,0.9766330310855288,0.023447199351571024,0.976552800648429,0.02345292416810174,0.9765470758318983,0.02345292416810174,0.9765470758318983,True,0,,0.0013215622746568512,True,True,fuse,0.9765470758318983,0.02345292416810174,0.05625,0.05296230960089275,0.0,0.0,0.0,0.9442534292107003,0.9678724482291408,0.9246657544660619,0.0007161459840259732,0.0010365136302110667,0.02
42,2,0.05,0.0,8,0.030587306033518002,0.969412693966482,0.03355691160366414,0.9664430883963359,0.011884489598972592,0.9881155104010274,0.030526790412236493,0.9694732095877635,0.030587306033518002,0.969412693966482,0.011877622536190513,0.9881223774638095,0.011931202807255126,0.9880687971927449,0.011931202807255126,0.9880687971927449,True,0,,0.019867418750427412,True,True,fuse,0.9880687971927449,0.011931202807255126,0.05625,0.06131317155953312,0.0,0.022126746375917706,0.0,0.7542078787468944,0.7822783748610445,0.7118866873338646,0.050745329970653286,0.08936973594099817,0.02
42,2,0.05,0.0,9,0.031117864725108246,1.0311178647251082,0.035825134873301634,1.0358251348733016,0.024960643304196672,1.0249606433041967,0.030733854746137546,1.0307338547461375,0.031117864725108246,1.0311178647251082,0.02459947193087375,1.0245994719308738,0.02460118223574681,1.0246011822357468,0.02460118223574681,1.0246011822357468,True,0,,0.02519363310064511,True,True,fuse,1.0246011822357468,0.02460118223574681,0.05625,0.11081483225382803,0.0,0.0348196431745312,0.0,0.823625119429238,0.8606239496753174,0.7075596085371388,0.025925176443595266,0.051497118013361654,0.02
