runs,overall_mae,accepted_mae,bad_output_rate,acceptance_rate,rejection_rate,forwarding_rate,false_acceptance_rate_all_runs,false_rejection_rate_all_runs,conditional_false_acceptance_rate,conditional_false_rejection_rate,bad_rate_among_accepted,variant
10000,0.6584948725572651,0.21719353743485983,0.7339,0.0275,0.3148,0.6577,0.007,0.0531,0.00953808420765772,0.1995490417136415,0.2545454545454545,full_method
10000,0.6584948725572651,0.23691151039867744,0.7339,0.0225,0.3594,0.6181,0.0065,0.062,0.008856792478539311,0.23299511461856445,0.28888888888888886,no_confidence
10000,0.6584948725572651,0.28790280426286985,0.7339,0.0303,0.3817,0.588,0.0101,0.0516,0.013762092928191852,0.1939120631341601,0.3333333333333333,no_noise
10000,0.6584948725572651,0.350992598678334,0.7339,0.028,0.3732,0.5988,0.0134,0.08,0.01825861834037335,0.3006388575723412,0.4785714285714286,no_drift
10000,0.6584948725572651,0.23281941007673548,0.7339,0.1242,0.2465,0.6293,0.0397,0.0416,0.054094563292001636,0.15633220593761743,0.3196457326892109,no_freshness
