experiment,scenario_count,source_count,timing_repetitions,mean_total_time_ms,median_total_time_ms,std_total_time_ms,p95_total_time_ms,mean_time_per_record_ms,total_time_ms,time_per_record_ms
edge_trust_scalability,1000,,10,1.9903834010619903,1.9824584996968042,0.04903914454495293,2.0723500014355523,0.00199038340106199,1.9903834010619903,0.00199038340106199
edge_trust_scalability,10000,,10,19.713728999704472,19.73956250003539,0.13080613056246387,19.845372548843443,0.001971372899970447,19.713728999704472,0.001971372899970447
edge_trust_scalability,100000,,10,203.62464600038948,200.41104200208792,7.379197892688051,217.41512079915992,0.0020362464600038946,203.62464600038948,0.0020362464600038946
fog_fusion_scalability,,2,10000,0.0010658024042641046,0.0010420008038636297,0.0001322309941859546,0.0011250012903474271,0.0005329012021320523,0.0010658024042641046,0.0005329012021320523
fog_assessment_scalability,,2,10000,0.0013908100056141848,0.0013749995559919626,0.0006016491597544502,0.00145800004247576,0.0006954050028070924,0.0013908100056141848,0.0006954050028070924
fog_fusion_scalability,,5,10000,0.002223729517208994,0.002167002094211057,0.0007196351615961056,0.0022500025806948543,0.00044474590344179883,0.002223729517208994,0.00044474590344179883
fog_assessment_scalability,,5,10000,0.001802474398209597,0.001791999238776043,0.00017778640519349842,0.0018750033632386476,0.00036049487964191936,0.001802474398209597,0.00036049487964191936
fog_fusion_scalability,,10,10000,0.004144565700335079,0.00404199818149209,0.0013074346921690952,0.004208999598631635,0.0004144565700335079,0.004144565700335079,0.0004144565700335079
fog_assessment_scalability,,10,10000,0.0025845244115771495,0.0025420013116672635,0.00033496733018033325,0.0026670022634789348,0.00025845244115771496,0.0025845244115771495,0.00025845244115771496
fog_fusion_scalability,,25,10000,0.009691809392825235,0.009624996891943738,0.0010087383504357626,0.009915998816723004,0.0003876723757130094,0.009691809392825235,0.0003876723757130094
fog_assessment_scalability,,25,10000,0.004935350400774041,0.004916997568216175,0.00046188897077315965,0.005041001713834703,0.00019741401603096166,0.004935350400774041,0.00019741401603096166
fog_fusion_scalability,,50,10000,0.019288281586341327,0.01883300137706101,0.0035799800820286976,0.02024999776040204,0.00038576563172682655,0.019288281586341327,0.00038576563172682655
fog_assessment_scalability,,50,10000,0.008985460300755222,0.008916002116166055,0.0007733449189205318,0.009166997188003734,0.00017970920601510443,0.008985460300755222,0.00017970920601510443
fog_fusion_scalability,,100,10000,0.037271816489374034,0.03704200207721442,0.0015205454250416753,0.03812500290223397,0.00037271816489374034,0.037271816489374034,0.00037271816489374034
fog_assessment_scalability,,100,10000,0.017795988706711795,0.01766700006555766,0.0010916027604607902,0.018041999283013865,0.00017795988706711794,0.017795988706711795,0.00017795988706711794
