method,tau_s,noise_level,drift_level,delay_s,runs,overall_mae,accepted_mae,bad_output_rate,acceptance_rate,rejection_rate,forwarding_rate,false_acceptance_rate_all_runs,false_rejection_rate_all_runs,conditional_false_acceptance_rate,conditional_false_rejection_rate,bad_rate_among_accepted,mean_full_trust_score,mean_method_score,mean_estimated_noise,mean_estimated_drift,mean_confidence
full_trust_score,1.0,0.0,0.3,3.0,30,0.3008935836163713,,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.619737660161554,0.619737660161554,0.024712061615452034,0.28810578620868144,0.741981420102485
raw_phys_mcp_output,1.0,0.0,0.3,5.0,30,0.3148878662568677,0.3148878662568677,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.6036704588676923,,0.026867504910618904,0.29990000765384495,0.7347114010361476
confidence_only,1.0,0.0,0.3,5.0,30,0.3148878662568677,0.3356609957768815,0.6666666666666666,0.4,0.0,0.6,0.3333333333333333,0.0,0.5,0.0,0.8333333333333334,0.6036704588676923,0.7347114010361476,0.026867504910618904,0.29990000765384495,0.7347114010361476
freshness_only,1.0,0.0,0.3,5.0,30,0.3148878662568677,,0.6666666666666666,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,1.0,,0.6036704588676923,0.006737946999085467,0.026867504910618904,0.29990000765384495,0.7347114010361476
full_trust_score,1.0,0.0,0.3,5.0,30,0.3148878662568677,,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.6036704588676923,0.6036704588676923,0.026867504910618904,0.29990000765384495,0.7347114010361476
raw_phys_mcp_output,1.0,0.0,0.3,10.0,30,0.298070053380665,0.298070053380665,0.5333333333333333,1.0,0.0,0.0,0.5333333333333333,0.0,1.0,0.0,0.5333333333333333,0.6008414904654915,,0.023322021786985246,0.3021872007702129,0.7288297844894018
confidence_only,1.0,0.0,0.3,10.0,30,0.298070053380665,0.3149872256681329,0.5333333333333333,0.4666666666666667,0.0,0.5333333333333333,0.26666666666666666,0.0,0.5,0.0,0.5714285714285714,0.6008414904654915,0.7288297844894018,0.023322021786985246,0.3021872007702129,0.7288297844894018
freshness_only,1.0,0.0,0.3,10.0,30,0.298070053380665,,0.5333333333333333,0.0,1.0,0.0,0.0,0.4666666666666667,0.0,1.0,,0.6008414904654915,4.5399929762484854e-05,0.023322021786985246,0.3021872007702129,0.7288297844894018
full_trust_score,1.0,0.0,0.3,10.0,30,0.298070053380665,,0.5333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.6008414904654915,0.6008414904654915,0.023322021786985246,0.3021872007702129,0.7288297844894018
raw_phys_mcp_output,1.0,0.0,0.3,20.0,30,0.3279693896277297,0.3279693896277297,0.5333333333333333,1.0,0.0,0.0,0.5333333333333333,0.0,1.0,0.0,0.5333333333333333,0.6156839606345937,,0.00966912840033417,0.2910699529001164,0.7634749217776721
confidence_only,1.0,0.0,0.3,20.0,30,0.3279693896277297,0.3503080587589151,0.5333333333333333,0.5333333333333333,0.0,0.4666666666666667,0.3,0.0,0.5625,0.0,0.5625,0.6156839606345937,0.7634749217776721,0.00966912840033417,0.2910699529001164,0.7634749217776721
freshness_only,1.0,0.0,0.3,20.0,30,0.3279693896277297,,0.5333333333333333,0.0,1.0,0.0,0.0,0.4666666666666667,0.0,1.0,,0.6156839606345937,2.061153622438558e-09,0.00966912840033417,0.2910699529001164,0.7634749217776721
full_trust_score,1.0,0.0,0.3,20.0,30,0.3279693896277297,,0.5333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.6156839606345937,0.6156839606345937,0.00966912840033417,0.2910699529001164,0.7634749217776721
raw_phys_mcp_output,1.0,0.0,0.4,0.1,30,0.40030324160125136,0.40030324160125136,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7976355365725698,,0.0206147517352346,0.38884193314904364,0.6951614131385981
confidence_only,1.0,0.0,0.4,0.1,30,0.40030324160125136,0.40079105948064697,1.0,0.36666666666666664,0.0,0.6333333333333333,0.36666666666666664,0.0,0.36666666666666664,0.0,1.0,0.7976355365725698,0.6951614131385981,0.0206147517352346,0.38884193314904364,0.6951614131385981
freshness_only,1.0,0.0,0.4,0.1,30,0.40030324160125136,0.40030324160125136,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7976355365725698,0.9048374180359595,0.0206147517352346,0.38884193314904364,0.6951614131385981
full_trust_score,1.0,0.0,0.4,0.1,30,0.40030324160125136,0.4003707851626096,1.0,0.9666666666666667,0.0,0.03333333333333333,0.9666666666666667,0.0,0.9666666666666667,0.0,1.0,0.7976355365725698,0.7976355365725698,0.0206147517352346,0.38884193314904364,0.6951614131385981
raw_phys_mcp_output,1.0,0.0,0.4,1.0,30,0.4017268390347984,0.4017268390347984,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6728226664147392,,0.015766718984942665,0.39398869451052737,0.7331666379829848
confidence_only,1.0,0.0,0.4,1.0,30,0.4017268390347984,0.3986211956485746,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.6728226664147392,0.7331666379829848,0.015766718984942665,0.39398869451052737,0.7331666379829848
freshness_only,1.0,0.0,0.4,1.0,30,0.4017268390347984,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.6728226664147392,0.3678794411714423,0.015766718984942665,0.39398869451052737,0.7331666379829848
