experiment,method,metric,n_seeds,mean,std,ci95_lower,ci95_upper
controlled_baseline,raw_phys_mcp_output,coverage,20,1.0,0.0,1.0,1.0
controlled_baseline,raw_phys_mcp_output,forwarding_rate,20,0.0,0.0,0.0,0.0
controlled_baseline,raw_phys_mcp_output,rejection_rate,20,0.0,0.0,0.0,0.0
controlled_baseline,raw_phys_mcp_output,false_acceptance_rate,20,1.0,0.0,1.0,1.0
controlled_baseline,raw_phys_mcp_output,unsafe_acceptance_frequency,20,0.6152331349206349,0.004178891021749602,0.6132773761967205,0.6171888936445493
controlled_baseline,raw_phys_mcp_output,accepted_output_contamination_rate,20,0.6152331349206349,0.004178891021749602,0.6132773761967205,0.6171888936445493
controlled_baseline,raw_phys_mcp_output,accepted_mae,20,0.5036086450602445,0.0038466144558307516,0.5018083947688702,0.5054088953516188
controlled_baseline,confidence_only,coverage,20,0.2609176587301587,0.003915622541091102,0.2590851120318988,0.2627502054284186
controlled_baseline,confidence_only,forwarding_rate,20,0.7146378968253968,0.0044519665495060855,0.7125543362892509,0.7167214573615427
controlled_baseline,confidence_only,rejection_rate,20,0.024444444444444446,0.0015710319069332762,0.023709187329209527,0.025179701559679364
controlled_baseline,confidence_only,false_acceptance_rate,20,0.20777672762712937,0.0042527195435004385,0.20578641648853446,0.20976703876572428
controlled_baseline,confidence_only,unsafe_acceptance_frequency,20,0.12783234126984128,0.0028079123504327814,0.1265182129408745,0.12914646959880804
controlled_baseline,confidence_only,accepted_output_contamination_rate,20,0.48992981633293065,0.007710056856154313,0.4863214401202418,0.4935381925456195
controlled_baseline,confidence_only,accepted_mae,20,0.37025283594614605,0.00516037533861397,0.3678377337014022,0.3726679381908899
controlled_baseline,freshness_only,coverage,20,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
controlled_baseline,freshness_only,forwarding_rate,20,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
controlled_baseline,freshness_only,rejection_rate,20,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
controlled_baseline,freshness_only,false_acceptance_rate,20,0.3292850090758376,0.002544042028360477,0.3280943744397403,0.33047564371193483
controlled_baseline,freshness_only,unsafe_acceptance_frequency,20,0.20258928571428572,0.002299249994322904,0.2015132159600248,0.20366535546854664
controlled_baseline,freshness_only,accepted_output_contamination_rate,20,0.6077678571428571,0.006897749982968746,0.6045396478800743,0.6109960664056399
controlled_baseline,freshness_only,accepted_mae,20,0.49327444300760115,0.005059822384761697,0.49090640045302114,0.49564248556218116
controlled_baseline,full_trust_score,coverage,20,0.1580952380952381,0.0018465794479693202,0.15723102224324034,0.15895945394723585
controlled_baseline,full_trust_score,forwarding_rate,20,0.7889980158730159,0.002573111917683273,0.7877937762662816,0.7902022554797502
controlled_baseline,full_trust_score,rejection_rate,20,0.052906746031746034,0.0012303187299942454,0.052330945759171764,0.053482546304320304
controlled_baseline,full_trust_score,false_acceptance_rate,20,0.08158061281435607,0.0030746502663036024,0.08014164873273434,0.08301957689597779
controlled_baseline,full_trust_score,unsafe_acceptance_frequency,20,0.05019345238095238,0.0019837288134314035,0.04926504938777631,0.05112185537412845
controlled_baseline,full_trust_score,accepted_output_contamination_rate,20,0.31745332966346174,0.011094276574170829,0.3122611080710523,0.3226455512558712
controlled_baseline,full_trust_score,accepted_mae,20,0.24153869977623577,0.00475287785162351,0.23931431003416476,0.24376308951830677
random_stress,raw_phys_mcp_output,coverage,20,1.0,0.0,1.0,1.0
random_stress,raw_phys_mcp_output,forwarding_rate,20,0.0,0.0,0.0,0.0
random_stress,raw_phys_mcp_output,rejection_rate,20,0.0,0.0,0.0,0.0
random_stress,raw_phys_mcp_output,false_acceptance_rate,20,1.0,0.0,1.0,1.0
random_stress,raw_phys_mcp_output,unsafe_acceptance_frequency,20,0.73173,0.0035563286805651764,0.7300656060720601,0.7333943939279399
random_stress,raw_phys_mcp_output,accepted_output_contamination_rate,20,0.73173,0.0035563286805651764,0.7300656060720601,0.7333943939279399
random_stress,raw_phys_mcp_output,accepted_mae,20,0.6642224868682909,0.004324999848222144,0.662198347894562,0.6662466258420198
random_stress,confidence_only,coverage,20,0.163485,0.004291273274424445,0.16147664536728148,0.1654933546327185
random_stress,confidence_only,forwarding_rate,20,0.77527,0.004579829920997417,0.7731265982516852,0.7774134017483149
random_stress,confidence_only,rejection_rate,20,0.061245,0.0022139450380664256,0.06020885373537387,0.06228114626462613
random_stress,confidence_only,false_acceptance_rate,20,0.13401569913033815,0.005024787846742597,0.13166405305583206,0.13636734520484423
random_stress,confidence_only,unsafe_acceptance_frequency,20,0.098065,0.0037560162266338576,0.09630715049778257,0.09982284950221743
random_stress,confidence_only,accepted_output_contamination_rate,20,0.5997452716499501,0.012757855491961177,0.5937744801057387,0.6057160631941614
random_stress,confidence_only,accepted_mae,20,0.4686973232649882,0.0091865010544474,0.46439795783861665,0.47299668869135975
random_stress,freshness_only,coverage,20,0.072705,0.0029188092381005385,0.07133897092646192,0.07407102907353809
random_stress,freshness_only,forwarding_rate,20,0.189785,0.003914114136517256,0.18795315924869813,0.1916168407513019
random_stress,freshness_only,rejection_rate,20,0.73751,0.003868074456367136,0.7356997062346403,0.7393202937653597
random_stress,freshness_only,false_acceptance_rate,20,0.07210071287596734,0.003399610648002774,0.07050966440206859,0.07369176134986609
random_stress,freshness_only,unsafe_acceptance_frequency,20,0.05276,0.002541114550329193,0.05157073545004973,0.05394926454995027
random_stress,freshness_only,accepted_output_contamination_rate,20,0.725598276440645,0.015649049245655147,0.718274380118902,0.732922172762388
random_stress,freshness_only,accepted_mae,20,0.6512750613283029,0.019133585054306453,0.6423203707907995,0.6602297518658063
random_stress,full_trust_score,coverage,20,0.022075,0.00142897644634561,0.02140622612275287,0.02274377387724713
random_stress,full_trust_score,forwarding_rate,20,0.74575,0.005123269926213352,0.7433522634232359,0.7481477365767641
random_stress,full_trust_score,rejection_rate,20,0.232175,0.004705637716164458,0.22997271906779315,0.23437728093220683
random_stress,full_trust_score,false_acceptance_rate,20,0.00928658902537618,0.0014973286490199084,0.008585825700214935,0.009987352350537425
random_stress,full_trust_score,unsafe_acceptance_frequency,20,0.006795,0.0010932688791442217,0.0062833402948672045,0.007306659705132795
random_stress,full_trust_score,accepted_output_contamination_rate,20,0.3075941904612789,0.04348827107188928,0.2872412870009741,0.32794709392158367
random_stress,full_trust_score,accepted_mae,20,0.24165178463511938,0.01821149293711289,0.23312864153282503,0.25017492773741373
fog_fusion,simple_average,fusion_mae,20,0.13820629335998325,0.0018998064053545524,0.13731716681141268,0.1390954199085538
fog_fusion,simple_average,fusion_allowed_rate,20,0.83795,0.005235631968087811,0.8354996769732688,0.8404003230267312
fog_fusion,confidence_weighted,fusion_mae,20,0.13733733590143316,0.0018636922681227266,0.13646511109511436,0.13820956070775195
fog_fusion,confidence_weighted,fusion_allowed_rate,20,0.83795,0.005235631968087811,0.8354996769732688,0.8404003230267312
fog_fusion,uncertainty_weighted,fusion_mae,20,0.13106516108182933,0.001924239260625482,0.13016459973641972,0.13196572242723895
fog_fusion,uncertainty_weighted,fusion_allowed_rate,20,0.83795,0.005235631968087811,0.8354996769732688,0.8404003230267312
fog_fusion,trust_only,fusion_mae,20,0.13480472629130563,0.0017480921409216278,0.13398660338811913,0.13562284919449213
fog_fusion,trust_only,fusion_allowed_rate,20,0.83795,0.005235631968087811,0.8354996769732688,0.8404003230267312
fog_fusion,median,fusion_mae,20,0.14586937359331695,0.0019669523695982224,0.14494882212730736,0.14678992505932653
fog_fusion,median,fusion_allowed_rate,20,0.83795,0.005235631968087811,0.8354996769732688,0.8404003230267312
fog_fusion,original_trust_uncertainty,fusion_mae,20,0.13115011363245524,0.0019453093256505884,0.13023969130639984,0.13206053595851064
fog_fusion,original_trust_uncertainty,fusion_allowed_rate,20,0.83795,0.005235631968087811,0.8354996769732688,0.8404003230267312
fog_fusion,orthogonal_trust_uncertainty,fusion_mae,20,0.13078514076545245,0.0018958502675076466,0.12989786572510903,0.13167241580579586
fog_fusion,orthogonal_trust_uncertainty,fusion_allowed_rate,20,0.83795,0.005235631968087811,0.8354996769732688,0.8404003230267312
