seed,experiment,method,coverage,forwarding_rate,rejection_rate,false_acceptance_rate,unsafe_acceptance_frequency,accepted_output_contamination_rate,accepted_mae,fusion_mae,fusion_allowed_rate
42,controlled_baseline,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.6185515873015873,0.6185515873015873,0.5057264863680829,,
42,controlled_baseline,confidence_only,0.25952380952380955,0.7149801587301587,0.025496031746031746,0.20962309542902968,0.12966269841269842,0.4996177370030581,0.38026599537824585,,
42,controlled_baseline,freshness_only,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.32510024057738574,0.20109126984126985,0.6032738095238095,0.4961401714400648,,
42,controlled_baseline,full_trust_score,0.15803571428571428,0.7890873015873016,0.052876984126984126,0.07955092221331195,0.049206349206349205,0.3113622096672944,0.2389689107778311,,
42,random_stress,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.7322,0.7322,0.6649175990020443,,
42,random_stress,confidence_only,0.1616,0.7785,0.0599,0.13097514340344169,0.0959,0.593440594059406,0.457117157818437,,
42,random_stress,freshness_only,0.0744,0.1875,0.7381,0.07347719202403714,0.0538,0.7231182795698925,0.6655255852149157,,
42,random_stress,full_trust_score,0.0206,0.7467,0.2327,0.00833105708822726,0.0061,0.2961165048543689,0.2361329421582986,,
42,fog_fusion,simple_average,,,,,,,,0.13984212508884047,0.8355
42,fog_fusion,confidence_weighted,,,,,,,,0.1388725654524616,0.8355
42,fog_fusion,uncertainty_weighted,,,,,,,,0.1302152773297426,0.8355
42,fog_fusion,trust_only,,,,,,,,0.1358661898708682,0.8355
42,fog_fusion,median,,,,,,,,0.14583187465124464,0.8355
42,fog_fusion,original_trust_uncertainty,,,,,,,,0.1302680551619629,0.8355
42,fog_fusion,orthogonal_trust_uncertainty,,,,,,,,0.12998451616807524,0.8355
101,controlled_baseline,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.6218253968253968,0.6218253968253968,0.5042679481635592,,
101,controlled_baseline,confidence_only,0.2650793650793651,0.7097222222222223,0.0251984126984127,0.21266751754945756,0.1322420634920635,0.49887724550898205,0.3717155443496884,,
101,controlled_baseline,freshness_only,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33024888321633694,0.20535714285714285,0.6160714285714286,0.4970812421573972,,
101,controlled_baseline,full_trust_score,0.15793650793650793,0.7898809523809524,0.052182539682539685,0.08216336949585194,0.05109126984126984,0.3234924623115578,0.24413504598572194,,
101,random_stress,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.7371,0.7371,0.6681609053338246,,
101,random_stress,confidence_only,0.1681,0.7713,0.0606,0.13932980599647266,0.1027,0.6109458655562165,0.47605983438773325,,
101,random_stress,freshness_only,0.0752,0.1892,0.7356,0.07448107448107448,0.0549,0.7300531914893617,0.6580403647051286,,
101,random_stress,full_trust_score,0.0205,0.7527,0.2268,0.008004341337674671,0.0059,0.28780487804878047,0.22941431965938508,,
101,fog_fusion,simple_average,,,,,,,,0.1401876006759038,0.83375
101,fog_fusion,confidence_weighted,,,,,,,,0.13839982248513652,0.83375
101,fog_fusion,uncertainty_weighted,,,,,,,,0.13118162186699633,0.83375
101,fog_fusion,trust_only,,,,,,,,0.13638581221253906,0.83375
101,fog_fusion,median,,,,,,,,0.1476185041038733,0.83375
101,fog_fusion,original_trust_uncertainty,,,,,,,,0.13124803638723848,0.83375
101,fog_fusion,orthogonal_trust_uncertainty,,,,,,,,0.13093574199910335,0.83375
202,controlled_baseline,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.6148809523809524,0.6148809523809524,0.5040028485967812,,
202,controlled_baseline,confidence_only,0.2613095238095238,0.7156746031746032,0.023015873015873017,0.20861568247821877,0.1282738095238095,0.4908883826879271,0.3780131002503995,,
202,controlled_baseline,freshness_only,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.32591158438205875,0.2003968253968254,0.6011904761904762,0.49118847076850136,,
202,controlled_baseline,full_trust_score,0.15813492063492063,0.7880952380952381,0.05376984126984127,0.08147789609551469,0.05009920634920635,0.31681304893350065,0.2471707659673027,,
202,random_stress,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.7333,0.7333,0.6717498652978429,,
202,random_stress,confidence_only,0.171,0.7695,0.0595,0.14373380608209463,0.1054,0.6163742690058479,0.47633974100041676,,
202,random_stress,freshness_only,0.0755,0.1866,0.7379,0.07200327287603982,0.0528,0.6993377483443709,0.6257027199936569,,
202,random_stress,full_trust_score,0.0229,0.7484,0.2287,0.008591299604527479,0.0063,0.27510917030567683,0.23006792381130625,,
202,fog_fusion,simple_average,,,,,,,,0.13780157203595989,0.84475
202,fog_fusion,confidence_weighted,,,,,,,,0.13602050796711515,0.84475
202,fog_fusion,uncertainty_weighted,,,,,,,,0.1284497503950943,0.84475
202,fog_fusion,trust_only,,,,,,,,0.13410819699622467,0.84475
202,fog_fusion,median,,,,,,,,0.14675746938092782,0.84475
202,fog_fusion,original_trust_uncertainty,,,,,,,,0.1281079377664889,0.84475
202,fog_fusion,orthogonal_trust_uncertainty,,,,,,,,0.12784447212379949,0.84475
303,controlled_baseline,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.6116071428571429,0.6116071428571429,0.49886613318663825,,
303,controlled_baseline,confidence_only,0.2648809523809524,0.7077380952380953,0.02738095238095238,0.2116788321167883,0.12946428571428573,0.4887640449438202,0.3648029323314079,,
303,controlled_baseline,freshness_only,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33025141930251417,0.201984126984127,0.6059523809523809,0.4867416253946807,,
303,controlled_baseline,full_trust_score,0.15843253968253967,0.7881944444444444,0.05337301587301587,0.08142741281427412,0.0498015873015873,0.3143393863494051,0.24076853269733334,,
