case,iterations,orchestration_mean_ms,orchestration_std_ms,trust_mean_ms,trust_std_ms,total_mean_ms,total_std_ms,trust_overhead_percent
chemical,30,0.2545861666779577,0.04936996404123979,0.005579066661690983,0.0025409917920462236,0.2604153333474339,0.05142897310544843,2.1914256907557355
wetware,30,0.0550986000841173,0.12177493696588713,0.00324849994891944,0.0007456296199272811,0.05849710008381711,0.12247008906146245,5.895793983803686
edge,30,0.0345304665340033,0.006945616892797621,0.0033180995766694346,0.0005469441772919576,0.03799713340413291,0.007474285452603966,9.609194168871108
